label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
0,0.0,0.0,0.0,-0.302468,-0.058793,0.021523,-0.496548,-0.205641,0.007614,-0.648702,-0.284694,-0.041834,-0.724757,-0.413349,-0.087946,-0.325917,-0.698761,0.121857,-0.515532,-0.886908,0.046913,-0.641037,-0.773713,-0.025715,-0.686972,-0.606207,-0.066633,-0.271875,-0.76017,0.054561,-0.517739,-0.966006,-0.020579,-0.655977,-0.798543,-0.086705,-0.684299,-0.614784,-0.118713,-0.217846,-0.786473,-0.029062,-0.477144,-1.0,-0.113931,-0.633285,-0.803905,-0.153649,-0.667047,-0.58869,-0.161013,-0.189903,-0.765475,-0.114181,-0.439418,-0.927987,-0.181865,-0.576356,-0.801794,-0.195078,-0.615935,-0.619331,-0.189241
0,0.0,0.0,0.0,-0.311717,-0.056923,0.02008,-0.513092,-0.211683,0.0022,-0.666256,-0.29026,-0.049378,-0.741411,-0.419959,-0.09712,-0.311065,-0.745254,0.107199,-0.545308,-0.904938,0.027769,-0.671882,-0.767695,-0.048845,-0.710758,-0.580028,-0.090009,-0.251383,-0.801879,0.042183,-0.549538,-0.976659,-0.029538,-0.689335,-0.780979,-0.089517,-0.703342,-0.568584,-0.118656,-0.208685,-0.815089,-0.038307,-0.507782,-1.0,-0.11504,-0.670246,-0.790471,-0.147506,-0.695053,-0.564089,-0.152293,-0.204808,-0.777567,-0.121136,-0.460236,-0.935831,-0.180978,-0.597376,-0.815309,-0.189333,-0.634922,-0.633634,-0.180935
0,0.0,0.0,0.0,-0.306351,-0.070982,0.003518,-0.495833,-0.22431,-0.022058,-0.647286,-0.308741,-0.078872,-0.734475,-0.438031,-0.130102,-0.324567,-0.721496,0.090898,-0.529012,-0.907397,-0.00118,-0.658103,-0.775539,-0.082219,-0.702493,-0.587991,-0.124845,-0.271662,-0.7732,0.032892,-0.532853,-0.974879,-0.05841,-0.669356,-0.774359,-0.124662,-0.688367,-0.568307,-0.15226,-0.222681,-0.788217,-0.042546,-0.491224,-1.0,-0.139245,-0.643288,-0.784021,-0.175977,-0.667498,-0.555017,-0.176699,-0.201197,-0.756048,-0.120543,-0.448327,-0.907051,-0.193162,-0.584422,-0.775281,-0.205413,-0.623085,-0.586912,-0.196055
0,0.0,0.0,0.0,-0.301821,-0.044383,0.020705,-0.51436,-0.223163,0.012779,-0.667258,-0.337391,-0.032678,-0.741714,-0.477048,-0.069946,-0.354312,-0.705733,0.137412,-0.549636,-0.891394,0.051121,-0.669818,-0.748401,-0.025301,-0.690264,-0.565265,-0.063375,-0.291993,-0.761864,0.069374,-0.53565,-0.971838,-0.023438,-0.67259,-0.756083,-0.085423,-0.676954,-0.543876,-0.102479,-0.227796,-0.782278,-0.017816,-0.470285,-1.0,-0.113061,-0.623002,-0.768826,-0.140719,-0.633391,-0.536317,-0.12892,-0.183244,-0.752683,-0.107812,-0.406942,-0.92351,-0.171809,-0.552707,-0.794189,-0.176537,-0.58936,-0.607345,-0.159906
0,0.0,0.0,0.0,-0.295931,-0.037774,0.002978,-0.505578,-0.206455,-0.01699,-0.66359,-0.32496,-0.067561,-0.746452,-0.471682,-0.109839,-0.330662,-0.717106,0.10536,-0.543705,-0.901429,0.020025,-0.647945,-0.751222,-0.052774,-0.646924,-0.559201,-0.089309,-0.275717,-0.768876,0.047698,-0.538538,-0.973216,-0.035368,-0.657815,-0.756139,-0.081915,-0.636919,-0.534255,-0.092128,-0.225263,-0.782095,-0.029576,-0.494203,-1.0,-0.117682,-0.618676,-0.768021,-0.127327,-0.594658,-0.53279,-0.10795,-0.192986,-0.743422,-0.112089,-0.435743,-0.911702,-0.188166,-0.540975,-0.759498,-0.190769,-0.527033,-0.555708,-0.170124
0,0.0,0.0,0.0,-0.319153,-0.015709,0.000669,-0.547302,-0.18087,-0.022959,-0.717395,-0.255822,-0.077002,-0.812813,-0.357745,-0.125012,-0.329274,-0.789272,0.090963,-0.584547,-0.926228,0.002227,-0.71975,-0.755391,-0.076656,-0.749445,-0.545837,-0.117473,-0.274677,-0.839904,0.029538,-0.594775,-1.0,-0.054624,-0.742247,-0.752562,-0.105156,-0.741485,-0.506386,-0.119461,-0.239964,-0.838259,-0.050679,-0.570839,-0.985693,-0.13949,-0.718807,-0.717155,-0.158447,-0.707562,-0.462386,-0.146451,-0.243466,-0.769257,-0.136088,-0.531006,-0.885705,-0.213489,-0.662907,-0.714774,-0.220537,-0.671679,-0.507128,-0.203048
0,0.0,0.0,0.0,-0.318005,0.023302,-0.002576,-0.548069,-0.116605,-0.029523,-0.731528,-0.18731,-0.086702,-0.833807,-0.29845,-0.140013,-0.357391,-0.787494,0.080233,-0.63518,-0.926338,-0.008579,-0.760019,-0.728843,-0.087884,-0.769841,-0.51407,-0.129673,-0.300666,-0.826315,0.019827,-0.645857,-0.976698,-0.065893,-0.773932,-0.699804,-0.118769,-0.746932,-0.459211,-0.13517,-0.261277,-0.810807,-0.057757,-0.609515,-0.952841,-0.155475,-0.723113,-0.656826,-0.173936,-0.679102,-0.405736,-0.159226,-0.254784,-0.728705,-0.139319,-0.562128,-0.857898,-0.226307,-0.672711,-0.664478,-0.229558,-0.654304,-0.445847,-0.20689
0,0.0,0.0,0.0,-0.350517,0.02003,0.003033,-0.591456,-0.120003,-0.025171,-0.784301,-0.189525,-0.084941,-0.900388,-0.297499,-0.142673,-0.399912,-0.800699,0.083086,-0.688618,-0.92721,0.001195,-0.811132,-0.731908,-0.073687,-0.823348,-0.526523,-0.1137,-0.338375,-0.844322,0.019586,-0.694885,-0.97997,-0.058465,-0.817987,-0.701398,-0.107255,-0.790428,-0.461554,-0.123257,-0.293801,-0.827464,-0.059884,-0.655607,-0.941805,-0.148706,-0.767966,-0.64208,-0.164633,-0.724573,-0.3886,-0.151554,-0.280529,-0.74311,-0.143473,-0.597762,-0.844482,-0.223276,-0.702926,-0.654869,-0.225924,-0.680768,-0.444682,-0.204573
0,0.0,0.0,0.0,-0.38223,-0.017304,-0.001672,-0.636247,-0.148708,-0.043989,-0.821523,-0.202814,-0.119493,-0.907311,-0.331959,-0.193052,-0.410258,-0.859922,0.078271,-0.728463,-0.952992,-0.026282,-0.85565,-0.755378,-0.126076,-0.8779,-0.523262,-0.18011,-0.354704,-0.900429,0.013034,-0.759289,-1.0,-0.085021,-0.885666,-0.712306,-0.162371,-0.85614,-0.456612,-0.199964,-0.316503,-0.885353,-0.068847,-0.698801,-0.981882,-0.17687,-0.829673,-0.686804,-0.219073,-0.798664,-0.413096,-0.222213,-0.315974,-0.802999,-0.153378,-0.630285,-0.903376,-0.240018,-0.749921,-0.708142,-0.24992,-0.745451,-0.478283,-0.234523
0,0.0,0.0,0.0,-0.385472,-0.031025,-0.027833,-0.655513,-0.161346,-0.085433,-0.860549,-0.207741,-0.169289,-0.950197,-0.318417,-0.251398,-0.426577,-0.88013,0.035169,-0.759541,-0.958333,-0.070882,-0.901674,-0.746392,-0.172342,-0.940681,-0.521859,-0.230446,-0.372039,-0.903018,-0.018922,-0.779353,-1.0,-0.11196,-0.927237,-0.725537,-0.194473,-0.924675,-0.486665,-0.241879,-0.326305,-0.867463,-0.088931,-0.70229,-0.969751,-0.183752,-0.875365,-0.703787,-0.233221,-0.888336,-0.453653,-0.248425,-0.310529,-0.75913,-0.163562,-0.626869,-0.889866,-0.23724,-0.775427,-0.727305,-0.24873,-0.804505,-0.521004,-0.239148
0,0.0,0.0,0.0,-0.285061,-0.049638,-0.015995,-0.498571,-0.187207,-0.049027,-0.650268,-0.260837,-0.110057,-0.73105,-0.35258,-0.162637,-0.358226,-0.700983,0.062721,-0.513865,-0.930175,-0.045119,-0.662669,-0.794515,-0.131924,-0.716964,-0.605598,-0.175057,-0.306882,-0.745389,0.013181,-0.503853,-1.0,-0.090544,-0.673042,-0.818874,-0.1535,-0.714681,-0.602411,-0.173173,-0.246001,-0.761077,-0.056441,-0.448535,-0.997633,-0.151581,-0.630123,-0.800975,-0.182376,-0.677544,-0.575888,-0.175838,-0.181776,-0.735938,-0.131793,-0.366627,-0.916367,-0.18755,-0.529002,-0.80744,-0.192016,-0.600775,-0.630395,-0.177976
0,0.0,0.0,0.0,-0.306916,-0.055629,-0.030752,-0.536361,-0.194317,-0.082381,-0.695369,-0.254767,-0.154286,-0.747646,-0.339779,-0.220486,-0.314851,-0.818925,0.005648,-0.559753,-0.979419,-0.095178,-0.726013,-0.798702,-0.183519,-0.780701,-0.589989,-0.232895,-0.279694,-0.821006,-0.034581,-0.582715,-1.0,-0.120198,-0.752486,-0.804308,-0.178281,-0.777888,-0.584773,-0.208451,-0.256741,-0.77671,-0.089429,-0.54107,-0.965077,-0.174502,-0.71761,-0.774704,-0.199529,-0.754036,-0.541055,-0.199302,-0.257145,-0.67826,-0.149606,-0.492209,-0.848628,-0.215413,-0.638682,-0.737528,-0.220089,-0.695107,-0.553809,-0.206279
0,0.0,0.0,0.0,-0.363194,-0.032695,-0.037631,-0.600543,-0.174136,-0.096676,-0.791912,-0.221771,-0.176062,-0.900994,-0.313588,-0.252373,-0.337291,-0.863533,-0.005032,-0.665538,-0.976506,-0.115174,-0.840599,-0.76874,-0.211278,-0.896224,-0.536247,-0.264265,-0.277729,-0.874962,-0.048519,-0.68378,-1.0,-0.142602,-0.870488,-0.739837,-0.205211,-0.892067,-0.494835,-0.237656,-0.246969,-0.817333,-0.107741,-0.63133,-0.982761,-0.207431,-0.829611,-0.741172,-0.238116,-0.860846,-0.486103,-0.239444,-0.262005,-0.687312,-0.171972,-0.571734,-0.835258,-0.261119,-0.73041,-0.695633,-0.274456,-0.772002,-0.492721,-0.262432
